"BLP.model.name","BLP.model.id","BLP.firm.id","BLP.cdid","BLP.id","BLP.price","BLP.mpd","BLP.air","BLP.mpg","BLP.space","BLP.hpwt","BLP.trend","BLP.share","BLP.outshr","BLP.y","augZ.1","augZ.2","augZ.3","augZ.4","augZ.5","augZ.6","augZ.7","augZ.8","augZ.9","augZ.10","augZ.11","augZ.12","augZ.13","augZ.14","augZ.15","augZ.16","augZ.17","augZ.18","augZ.19","augZ.20","augZ.21","augZ.22","augZ.23","augZ.24","augZ.25","augZ.26","augZ.27","augZ.28","augZ.29","augZ.30","augZ.31","augZ.32","augZ.33","augZ.34","augZ.35","augZ.36","augZ.37","augZ.38","augZ.39","augZ.40","augZ.41","augZ.42","augZ.43","augZ.44","augZ.45","augZ.46","augZ.47","augZ.48","Z.sum.other.1","Z.sum.other.hpwt","Z.sum.other.air","Z.sum.other.mpd","Z.sum.other.space","Z.sum.rival.1","Z.sum.rival.hpwt","Z.sum.rival.air","Z.sum.rival.mpd","Z.sum.rival.space"
"AMGREM",23,15,1,129,-6.82561705092041,1.8881456043956,0,1.697,1.1502,0.528996865203762,0,0.00105129281900534,0.880106290119383,0.820365578284663,4,1.8409668349878,0,0.977849293563579,2.9949,0,0.849701591066646,0.393289446302823,0.240964028956438,0.0598509793895086,2.26325313,1.725089365629,0,0,0,0,0,0,0.451488905871545,1.37207947761311,0,0.726226576530612,0,0,87,44.5555390771308,0,23.9035832025118,62.78065,0,24.8050186514133,14.8879058373153,6.8118600942747,2.01384901817659,47.3372908675,36.9955507370189,0,0,0,0,0,0,12.0253268928241,33.3569738958816,0,16.7089376947606,0,0,4,1.8409668349878,0,6.84494505494505,5.9898,87,44.5555390771308,0,167.325082417582,125.5613
"AMHORN",24,15,1,130,-6.24537013734016,1.93598901098901,0,1.74,1.278,0.494324423288173,0,0.000670076189333493,0.880106290119383,0.369981057654853,4,1.87563927690339,0,0.971014521193093,2.931,0,0.885182639002869,0.420531250684876,0.237230159012116,0.0583210258583445,2.18567214,1.65438082638,0,0,0,0,0,0,0.457462685074996,1.36043226831065,0,0.704623084968603,0,0,87,44.5555390771308,0,23.9035832025118,62.78065,0,24.8050186514133,14.8879058373153,6.8118600942747,2.01384901817659,47.3372908675,36.9955507370189,0,0,0,0,0,0,12.0253268928241,33.3569738958816,0,16.7089376947606,0,0,4,1.87563927690339,0,6.79710164835165,5.862,87,44.5555390771308,0,167.325082417582,125.5613
"AMJAVL",25,15,1,132,-4.65277754474757,1.71679945054945,0,1.543,1.4592,0.467613439556633,0,0.000340527326174336,0.880106290119383,-0.306914988236964,4,1.90235026063493,0,1.0023273155416,2.8404,0,0.910876945608068,0.439073259888001,0.253570018139939,0.0647236351464459,2.06167698,1.526920075044,0,0,0,0,0,0,0.479492421539141,1.33513480929127,0,0.702411670525903,0,0,87,44.5555390771308,0,23.9035832025118,62.78065,0,24.8050186514133,14.8879058373153,6.8118600942747,2.01384901817659,47.3372908675,36.9955507370189,0,0,0,0,0,0,12.0253268928241,33.3569738958816,0,16.7089376947606,0,0,4,1.90235026063493,0,7.01629120879121,5.6808,87,44.5555390771308,0,167.325082417582,125.5613
"AMMATA",26,15,1,134,-4.9219133472167,1.68787087912088,0,1.517,1.6068,0.42654028436019,0,0.000522241886135941,0.880106290119383,0.120720500267717,4,1.94342341583137,0,1.00645996860283,2.7666,0,0.947602660279982,0.463719408436125,0.255580064034278,0.0654568896078422,1.94854158,1.396742162076,0,0,0,0,0,0,0.491328646018693,1.33362311033682,0,0.687631872645212,0,0,87,44.5555390771308,0,23.9035832025118,62.78065,0,24.8050186514133,14.8879058373153,6.8118600942747,2.01384901817659,47.3372908675,36.9955507370189,0,0,0,0,0,0,12.0253268928241,33.3569738958816,0,16.7089376947606,0,0,4,1.94342341583137,0,7.04521978021978,5.5332,87,44.5555390771308,0,167.325082417582,125.5613
"AMAMBS",18,15,1,136,-2.83302445832781,1.50428571428571,0,1.352,1.6458,0.452488687782805,0,0.000442423060771492,0.880106290119383,-0.0451437883207495,4,1.91747501240876,0,1.03268642072214,2.7471,0,0.924793261890648,0.448677449027679,0.26753991289918,0.0695518683944669,1.91682873,1.358059352391,0,0,0,0,0,0,0.496939025423827,1.30395263361532,0,0.704511694073783,0,0,87,44.5555390771308,0,23.9035832025118,62.78065,0,24.8050186514133,14.8879058373153,6.8118600942747,2.01384901817659,47.3372908675,36.9955507370189,0,0,0,0,0,0,12.0253268928241,33.3569738958816,0,16.7089376947606,0,0,4,1.91747501240876,0,7.22880494505494,5.4942,87,44.5555390771308,0,167.325082417582,125.5613
"BKSKYL",53,19,1,138,-4.60833310030312,1.72681318681319,0,1.552,1.6224,0.450870646766169,0,0.00275605915171876,0.880106290119383,1.78414673110284,28,16.9648091424915,0,7.04585557299843,23.06165,0,10.8449297506247,7.24142791049225,1.80142223049013,0.467727293610168,19.2341697825,16.2098587758249,0,0,0,0,0,0,4.3302488396791,14.0901580983892,0,5.7938618191719,0,0,63,29.5098229880647,0,17.858624411303,42.4778,0,14.8863438351353,8.09614568850274,5.26330413848073,1.61058570685781,30.039068785,22.167183445646,0,0,0,0,0,0,8.17803177721527,20.5773751036274,0,11.5963141206829,0,0,28,16.9648091424915,0,49.320989010989,46.1233,63,29.5098229880647,0,125.010370879121,84.9556
"BKLSAB",45,19,1,141,-1.90462939659942,1.72792582417582,0,1.553,1.768,0.564001961745954,0,0.00265059391685164,0.880106290119383,1.74512864974771,28,16.8516778275117,0,7.04569662480377,22.98885,0,10.7301158778868,7.15367483632035,1.80134378412887,0.467698256640823,19.1107592225,16.0528581327529,0,0,0,0,0,0,4.30225110022141,13.9573266328625,0,5.77576245182496,0,0,63,29.5098229880647,0,17.858624411303,42.4778,0,14.8863438351353,8.09614568850274,5.26330413848073,1.61058570685781,30.039068785,22.167183445646,0,0,0,0,0,0,8.17803177721527,20.5773751036274,0,11.5963141206829,0,0,28,16.8516778275117,0,49.3198763736264,45.9777,63,29.5098229880647,0,125.010370879121,84.9556
"BKCNTU",40,19,1,143,-0.492283717587073,2.19412087912088,0,1.972,1.768,0.73136754121198,0,0.000487341772151899,0.880106290119383,0.0515553041206793,28,16.6843122480457,0,6.97909733124019,22.98885,0,10.5133156104016,6.94187546603432,1.76402870701988,0.451943891721317,19.1107592225,16.0528581327529,0,0,0,0,0,0,4.21222892337886,13.8093754606146,0,5.71688867631476,0,0,63,29.5098229880647,0,17.858624411303,42.4778,0,14.8863438351353,8.09614568850274,5.26330413848073,1.61058570685781,30.039068785,22.167183445646,0,0,0,0,0,0,8.17803177721527,20.5773751036274,0,11.5963141206829,0,0,28,16.6843122480457,0,48.8536813186813,45.9777,63,29.5098229880647,0,125.010370879121,84.9556
"BKELCT",41,19,1,144,0.374382949079594,2.05615384615385,0,1.848,1.816,0.719013923761698,0,0.00241512688223649,0.880106290119383,1.65209674024672,28,16.696665865496,0,6.99880690737834,22.96485,0,10.5312330681769,6.96136629885399,1.77599600892072,0.457395554510245,19.0677512225,15.9950519247529,0,0,0,0,0,0,4.23027257305082,13.8030397242703,0,5.72726227129121,0,0,63,29.5098229880647,0,17.858624411303,42.4778,0,14.8863438351353,8.09614568850274,5.26330413848073,1.61058570685781,30.039068785,22.167183445646,0,0,0,0,0,0,8.17803177721527,20.5773751036274,0,11.5963141206829,0,0,28,16.696665865496,0,48.9916483516484,45.9297,63,29.5098229880647,0,125.010370879121,84.9556
"BKRIVE",50,19,1,145,1.20895085031416,1.97826923076923,0,1.778,1.744,0.728323699421965,0,0.000551397804307397,0.880106290119383,0.175046152861307,28,16.6873560898357,0,7.00993328100471,23.00085,0,10.5177586796004,6.94673960497782,1.78240865156653,0.46016782530459,19.1318312225,16.0806103887529,0,0,0,0,0,0,4.23564155593286,13.82080610115,0,5.74753897458791,0,0,63,29.5098229880647,0,17.858624411303,42.4778,0,14.8863438351353,8.09614568850274,5.26330413848073,1.61058570685781,30.039068785,22.167183445646,0,0,0,0,0,0,8.17803177721527,20.5773751036274,0,11.5963141206829,0,0,28,16.6873560898357,0,49.069532967033,46.0017,63,29.5098229880647,0,125.010370879121,84.9556
